Topic,Words,Frequency,Timestamp,Name
66,"acordar, , , , ",2,1983-01-01,66_yasky_espert_acordar_allende
73,"quòrum, indicación, sesionar, suficiente, casa",1,1983-01-01,73_casas_bue_considera_figueroa
87,"chubut, referir, él, , ",1,1983-01-01,87_chubut_pala_sidencia_monti
89,"desplazar, recordar, momento, , ",1,1983-01-01,89_recordar_italo_nalizado_olvidar
90,"modificacion, , , , ",1,1983-01-01,90_cambio_juntos_cambiar_interbloque
91,"alias, razón, , , ",1,1983-01-01,91_tema_motivo_razón_lógica
97,"dieta, goce, nfirmativo, brav, cun",13,1983-01-01,97_dieta_goce_homenajes_descuento
98,"entrado, giro, , , ",2,1983-01-01,98_vuelta_garrido_giro_carasso
100,"ramos, , , , ",1,1983-01-01,100_osuna_llancafilo_vásquez_punto
102,"peticiones, producido, poder, , ",2,1983-01-01,102_solicitud_peticiones_solicité_solici...
103,"benevolente, amabilidad, apreciación, apelar, servir",3,1983-01-01,103_agradecer_apreciación_agradecimiento...
104,"conté, preferencial, expresado, mañana, sostener",1,1983-01-01,104_mañana_ayer_acordar_desplacer
105,"autarquía, agropecuaria, tecnología, restituir, pleno",1,1983-01-01,105_ciencia_tecnología_innovación_tecnol...
106,"nacioís, 201, dieta, bravo, goce",1,1983-01-01,106_alimentario_alimento_programa_alimen...
109,"facto, 22924, derogación, autoamnistía, emanado",6,1983-01-01,109_corte_juez_patti_judicial
124,"leído, ramos, notar, contar, resolver",1,1983-01-01,124_leído_leer_afi_leeré
128,"terminado, volver, tema, , ",1,1983-01-01,128_volver_nuevamente_otorgué_afi
129,"subversión, amnistía, guerra, universal, terrorismo",7,1983-01-01,129_terrorismo_terrorista_humanos_derech...
130,"vivienda, alquileres, excepcional, desalojo, bancada",3,1983-01-01,130_vivienda_alquiler_vendedor_locación
131,"viernes, miércoles, diferir, jueves, proposición",3,1983-01-01,131_miércoles_jueves_semana_viernes
132,"arguindegui, pila, 164, nombre, apellido",2,1983-01-01,132_nombre_apellido_pila_corrección
138,"debate, , , , ",1,1983-01-01,138_lombardi_vidal_debate_vivero
141,"inasistente, diciemciembre, concurrir, figurar, ",1,1983-01-01,141_interrumpir_interrup_dencia_presi
149,"referir, él, , , ",2,1983-01-01,149_referir_él_refer_déjeme
154,"acepto, ponce, indicación, apoyo, ",1,1983-01-01,154_apoyo_apoyar_apoyamos_adelantar
165,"conexo, amnistir, alegado, atendible, carentes",1,1983-01-01,165_juicio_juez_doctor_actuación
169,"próximo, tema, , , ",1,1983-01-01,169_próximo_listado_seguir_afi
172,"referencia, , , , ",1,1983-01-01,172_referencia_coautor_referencien_lengu...
175,"dictaminar, recomendación, traslado, , ",1,1983-01-01,175_pedidos_mociones_informes_consulta
177,"reprimenda, bancada, radical, intransigent, terminantemente",4,1983-01-01,177_radical_radicalismo_bancada_evolució...
178,"recomendación, condición, momento, , ",1,1983-01-01,178_sugerencia_sugerir_sugerido_acepto
181,"respetar, , , , ",1,1983-01-01,181_petri_respetar_petmite_calma
183,"jalile, ufc, 1ívformes, féli, kümo",1,1983-01-01,183_evangelios_santos_jura_dios
187,"consulta, previo, problema, , ",1,1983-01-01,187_consulta_consultar_asesoramiento_ase...
-1,"1984, 84, diputados, él, militar",4956,1984-01-01,-1_él_provincia_caso_año
0,"argentino, chile, pueblo, hombre, tratado",1061,1984-01-01,0_argentino_argentina_país_gobierno
1,"presupuesto, déficit, 1984, externo, inflación",124,1984-01-01,1_presupuesto_gasto_ciento_millón
2,"conscripto, 1962, razón, clase, salud",37,1984-01-01,2_pastoriza_landau_abdala_silvestre
3,"debate, discusión, libre, sr, bancada",122,1984-01-01,3_debate_discusión_tema_debatir
4,"universidad, universitario, educación, provisorio, docente",111,1984-01-01,4_educación_universidad_docente_educativ...
5,"combustibles, energía, tello, rosas, gas",107,1984-01-01,5_energía_gas_combustible_combustibles
6,"penal, pena, código, prisión, multa",130,1984-01-01,6_penal_código_pena_delito
7,"138, 147, 133, 135, 134",140,1984-01-01,7_afi_127_129_131
8,"impuesto, impositivo, tributo, tributario, concertación",59,1984-01-01,8_impuesto_ganancia_tributario_fiscal
9,"columna, boletin, infoi, 5756, 1157",10,1984-01-01,9_registrar_afi_él_136
10,"él, conceder, referir, señoi, someter",66,1984-01-01,10_haber_él_sr_referir
11,"gremial, sindical, trabajo, trabajador, organización",107,1984-01-01,11_trabajo_trabajador_empleador_laboral
12,"medicamento, salud, asistencia, social, pública",55,1984-01-01,12_salud_discapacidad_paciente_pública
13,"moneda, bonex, cambio, tipo, explicasar",13,1984-01-01,13_precio_dólares_italo_millón
14,"president, presidenj, delimitándolo, objeto, reparación",16,1984-01-01,14_presiden_president_bue_sugerir
15,"doctor, legítimo, rendir, ocupar, justicialista",22,1984-01-01,15_doctor_caride_hoz_ocupar
16,"asentimicn, resulta, rabie, hono, sin",49,1984-01-01,16_resulta_pala_afi_sin
17,"ruta, tramo, transportes, 1984, pavimentación",204,1984-01-01,17_ferroviario_ruta_ferrocarril_transpor...
18,"21864, pensión, 18037, previsión, 18038",66,1984-01-01,18_pensión_previsional_jubilado_jubilaci...
19,"scalabrini, canning, locativo, someter, ortiz",38,1984-01-01,19_jurar_jura_someter_sr
20,"manifestaciones, manifestación, barra, rugir, solicitada1",75,1984-01-01,20_manifestaciones_manifestación_barra_l...
21,"diputados, 2052, fiar, 5236, 5763",82,1984-01-01,21_diputados_5282_pala_pág
22,"pianta, arguindegui, fuerzas, armadas, ascenso",25,1984-01-01,22_militar_fuerza_defensa_soldati
23,"democracia, político, bancada, popular, partido",42,1984-01-01,23_político_democracia_partido_debate
24,"legislador, legislativa, justicialista, celebración, bancada",33,1984-01-01,24_legislador_congreso_legislativo_parla...
25,"sr, pedrini, ruiz, cuestion, pugiiese",69,1984-01-01,25_sr_pala_concedo_álvaro
26,"vicepresidente, pascual, fappiano, candidatura, ocupar",32,1984-01-01,26_vicepresidente_vicepresidencia_ocupar...
27,"escuela, educación, 1984, adolfo, universidad",78,1984-01-01,27_educación_escuela_monumento_aconsejar
28,"84, lanas, 527, von, niederhausern",19,1984-01-01,28_2007_2010_2006_07
29,"1984, véanse, diputados, 29, vea",147,1984-01-01,29_1984_1985_diputados_véanse
30,"exclusión, vaquillonas, hacienda, revalúo, 100",63,1984-01-01,30_agropecuario_ganadería_productor_agri...
31,"deuda, externo, pregunta, banco, ministro",33,1984-01-01,31_deudor_deuda_hipotecario_crédito
32,"belarrinaga, restovicli, bautista, salutacion, proj",4,1984-01-01,32_evangelios_santos_dios_jurar
33,"justicialista, bancada, justicialismo, nombre, justicia",57,1984-01-01,33_justicialista_juez_justicia_bancada
34,"84, comité, convención, concubina, naciones",10,1984-01-01,34_matrimonio_divorcio_cónyuge_hijo
35,"frecuencia, antena, potencia, canal, 291",13,1984-01-01,35_teatral_radio_televisión_audiovisual
36,"memoria, concretado, pronunciado, rendido, rendir",65,1984-01-01,36_memoria_rendido_homenajes_rendir
37,"nuclear, energía, uranio, excelentísimo, miembros",31,1984-01-01,37_nuclear_energía_energético_gas
38,"cívica, unión, radical, bancada, suficientemente",29,1984-01-01,38_cívica_radical_unión_nombre
39,"votar, votai, votado, vot, 4ni",28,1984-01-01,39_votar_voté_votado_vota
40,"cumán, resulla, ítesulto, díputarln, ueneral",33,1984-01-01,40_leito_aparicio_alderete_leavy
41,"aeropuerto, pour, aeronave, président, casale",38,1984-01-01,41_aéreo_aerolíneas_argentinas_aeronave
42,"disculpa, disculpar, advertí, grifa, pa1555",12,1984-01-01,42_disculpe_disculpa_perdón_discúlpeme
43,"ministro, interpelante, contestar, pregunta, informativo",19,1984-01-01,43_ministros_gabinete_jefe_ministro
44,"zubiri, respeto, respetar, altísimo, puro",5,1984-01-01,44_respeto_respetar_respetuoso_señores
45,"escuchar, campana, sonar, caima, rugir",12,1984-01-01,45_escuchar_oradora_escuchaber_escuchen
46,"momento, plazo, asurto, solicitárselar, dú",33,1984-01-01,46_momento_plazo_quórum_oportuno
47,"torma, 2q, 2v, salla, 2p",19,1984-01-01,47_agost_carreño_2º_xii
48,"suiza, árbitro, bretaña, suizo, arbitral",4,1984-01-01,48_suizo_suiza_italo_accionista
49,"guarderia, materno, 109, infantil, hospital",1,1984-01-01,49_aborto_mujer_embarazo_salud
50,"refugiados, decreto, corresponse, pugliesel, sobve",12,1984-01-01,50_decreto_648_alidez_derogar
51,"mujer, elk, siempreviva, restitución, clavel",6,1984-01-01,51_mujer_violencia_01_género
52,"ley1, ley, aviso, definitivamente, ley2",15,1984-01-01,52_ley_aviso_roja_definitivamente
53,"gurioü, disculparme, secretario, secretaria, señot",5,1984-01-01,53_secretario_jefe_gabinete_secretaria
54,"mayoritaria, retirada, advertí, batir, micrófono",1,1984-01-01,54_micrófono_audio_sonido_receptor
55,"autor, redacción, citación, nota, provecto",35,1984-01-01,55_redacción_autor_copia_citación
56,"finalización, concluya, concedar, proseguir, continuo",10,1984-01-01,56_continúir_finalizar_proseguir_continú...
57,"dupuy, departamento, establereunión, diticia, cristóbal",9,1984-01-01,57_provincia_provincial_jurisdicción_int...
58,"storani, becerra, , , ",5,1984-01-01,58_registrado_sarghini_carrió_grosso
59,"cedrola, taquígrafos, lorenzo, director, diferido",11,1984-01-01,59_taquígrafos_director_cuerpo_monasteri...
60,"jaroslavsky, deslealtad, xag, iox, sr",47,1984-01-01,60_jaroslavsky_sr_manzano_proposición
61,"renuncia, presentado, públicas, deballi, obras",11,1984-01-01,61_renuncia_presentado_peticiones_renunc...
62,"risas, menéndez, benjamín, manifestaciones, humor",41,1984-01-01,62_risas_humor_risa_reír
63,"universidad, educación, educativo, pedagógico, docente",6,1984-01-01,63_educación_educativo_universidad_docen...
64,"fehrov1, formosu, fonavj, cuandfi, pilcaneyeu",14,1984-01-01,64_provincia_provincias_jura_requerírsel...
65,"128, 060d, ex466, ajusfándome, mayoruaria",13,1984-01-01,65_boletín_prescindir_enunciación_resuel...
66,"acordar, pedrini, márquez, , ",9,1984-01-01,66_yasky_espert_acordar_allende
67,"guelar, rugir, , , ",3,1984-01-01,67_massot_mayoraz_rugir_vallone
68,"inundación, zona, desastre, afectado, emergencia",38,1984-01-01,68_desastre_zona_emergencia_agropecuario
69,"pico, especializada, serralta, ferrocarril, taller",8,1984-01-01,69_de_la_que_el
70,"tabaco, cigarrillo, tabacalero, vendido, propaganda",11,1984-01-01,70_tabaco_cigarrillo_tabacalero_fumar
72,"7q, clencia, consideraci6n, estere, 8p",7,1984-01-01,72_6º_7º_1º_8º
73,"casa, homenajfüene, quisierar, carcelario, preferencial",9,1984-01-01,73_casas_bue_considera_figueroa
74,"campamento, carpa, turismo, metro, superficie",18,1984-01-01,74_turismo_turístico_viaje_actividad
75,"conferencia, abierto, unidad, mantener, debate",2,1984-01-01,75_inte_ocaña_conferencia_abierto
76,"nadal, taibo, ignorar, expresado, efectivamente",2,1984-01-01,76_compartir_pala_natalia_morán
78,"reconsideración, reconsiderar, balestra, formulo, nuevamente",32,1984-01-01,78_reconsideración_reconsiderar_formulo_...
80,"ambiente, conservación, naturales, recursos, interparlamentaria",20,1984-01-01,80_bosque_nativo_ambiental_forestal
81,"3475, 53s, modificarir, civil, venido",4,1984-01-01,81_civil_código_sustitución_padre
82,"veinte, ninuto, treinta, licitada, interpelado",9,1984-01-01,82_treinta_veinte_segundo_quince
83,"vea, 5753, 5731, peron, pág",8,1984-01-01,83_vea_pág_otación_él
84,"yamaguchi, , , , ",1,1984-01-01,84_yacobitti_verasay_pala_gollán
86,"lizondo, bautista, himno, 640983, casella",1,1984-01-01,86_estrofa_entonar_himno_orquesta
87,"chubut, 182, 180, referir, él",22,1984-01-01,87_chubut_pala_sidencia_monti
88,"girado, fútbol, estadio, deportes, córtese",9,1984-01-01,88_deportivo_antidopaje_deporte_fútbol
89,"recordar, manaña, jauretche, xiii, postergación",9,1984-01-01,89_recordar_italo_nalizado_olvidar
90,"sutilezas, enuncio, abruptamente, curioso, cambiar",4,1984-01-01,90_cambio_juntos_cambiar_interbloque
91,"uegativo, consideraciór, quisierar, bodo, entendimos",15,1984-01-01,91_tema_motivo_razón_lógica
92,"puestos, taquigraficas, abierto, presencia, electoral",11,1984-01-01,92_abierto_presencia_puestos_electoral
93,"levantar, mano, contar, necesario, ",1,1984-01-01,93_alzado_mano_levantar_afi
95,"bancaria, pasai, bancarios, sindicato, estatuto",4,1984-01-01,95_banco_central_directorio_negociación
96,"tina, , , , ",1,1984-01-01,96_pala_lena_austin_tina
97,"dieta, goce, homenajes, alimenticios, cuestion",43,1984-01-01,97_dieta_goce_homenajes_descuento
98,"vuelta, giro, guzmán, dii, proposición",27,1984-01-01,98_vuelta_garrido_giro_carasso
99,"83, rosauro, ausentar, 1984, comunica",4,1984-01-01,99_electoral_alianza_dni_candidato
100,"punto, , , , ",25,1984-01-01,100_osuna_llancafilo_vásquez_punto
101,"naje, home, , , ",1,1984-01-01,101_negativa_cero_negativos_nulo
102,"solicitud, alsogaray, solicitadal, xxvn, preterir",11,1984-01-01,102_solicitud_peticiones_solicité_solici...
103,"agradecer, autorizarme, gratificar, halagado, versación",9,1984-01-01,103_agradecer_apreciación_agradecimiento...
104,"mañana, ayer, oportunameni, considerado, sugerir",24,1984-01-01,104_mañana_ayer_acordar_desplacer
105,"tecnología, industria, ciapuscio, chehin, tecnológico",15,1984-01-01,105_ciencia_tecnología_innovación_tecnol...
106,"exclusión, alimentario, programa, pena, desperdicio",18,1984-01-01,106_alimentario_alimento_programa_alimen...
107,"loa, iniciadoro, limpieza, 192, regimen",2,1984-01-01,107_italo_compañía_empresa_firma
109,"militar, cuerpo, apelación, damnificado, sentencia",22,1984-01-01,109_corte_juez_patti_judicial
110,"5806, manifestar, proposición, cuerpo, prorrogar",2,1984-01-01,110_cuerpo_renumeración_corpacci_faculta...
112,"resulta, gorila, manifestaciones, cosa, tema",5,1984-01-01,112_resulta_gorleri_morales_gorila
114,"mercante, pesca, pesquero, marítimo, marina",27,1984-01-01,114_pesca_pesquero_mar_buque
116,"resolución1, resolución, resolucións, 6360, 6358",8,1984-01-01,116_resolución_disidencias_aciones_obser...
117,"haber, él, , , ",1,1984-01-01,117_suficientemente_apoyado_apoyar_consi...
119,"comenzar, lectivo, melón, eximir, formulo",7,1984-01-01,119_comenzar_individual_comienzo_empezar
120,"saharaui, arabe, democrática, oua, diplomático",4,1984-01-01,120_the_israel_palestino_convention
121,"toscas, cele, 929, brar, siderar",1,1984-01-01,121_castillo_loredo_ripoll_pichetto
122,"3q, 3ueno, atrículo, 3p, 5q",6,1984-01-01,122_3º_5º_polini_1º
123,"matadero, faenar, higiénico, salubridad, vacuna",4,1984-01-01,123_vacuna_vacunación_covid_salud
124,"leer, leído, lexto, sustitución, lee",20,1984-01-01,124_leído_leer_afi_leeré
126,"periodista, inquebrantabl, antorcha, sacrificado, abnegado",5,1984-01-01,126_periodista_periodístico_prensa_perio...
128,"volver, nuevamente, infirmante, acuer, rabanal",25,1984-01-01,128_volver_nuevamente_otorgué_afi
129,"terrorista, melón, magistfc, perpetrados, llamándome",7,1984-01-01,129_terrorismo_terrorista_humanos_derech...
130,"vivienda, vendedor, saldo, continuador, lote",38,1984-01-01,130_vivienda_alquiler_vendedor_locación
131,"semana, miércoles, jueves, refundir, próximo",19,1984-01-01,131_miércoles_jueves_semana_viernes
132,"nombre, apellido, bjetc, bagíini, 1guno",15,1984-01-01,132_nombre_apellido_pila_corrección
133,"negoció, encuademación, compilación, reserve, señoi",2,1984-01-01,133_negociación_negociador_negociar_nego...
134,"robson, copello, , , ",2,1984-01-01,134_afi_paulón_robson_copello
135,"changarín, madre, mujer, protección, concurrir",1,1984-01-01,135_aborto_mujer_embarazo_vida
136,"izai, alvaro, taquigraficas, alsogaray, puestos",1,1984-01-01,136_doña_himno_electoral_abierto
137,"resu, ta, tear, plan, ",3,1984-01-01,137_sírvar_resu_rizzotti_ta
138,"vidal, ampliar, debate, , ",5,1984-01-01,138_lombardi_vidal_debate_vivero
140,"comunicaciones, localidad, telefónico, correos, azcona",42,1984-01-01,140_localidad_telefónico_comunicaciones_...
141,"interrumpir, sírvanse, rugir, sírvase, coloquio",8,1984-01-01,141_interrumpir_interrup_dencia_presi
143,"cretacer, cñor, sej, aclaro, recién",4,1984-01-01,143_indicar_tienir_yo_pala
144,"suficientemente, apoyar, , , ",1,1984-01-01,144_martiarena_suficientemente_hagman_ap...
145,"medicamento, población, salud, atención, médico",2,1984-01-01,145_salud_medicina_médico_medicamento
146,"írio, solvay, soda, perseverancia, flor",4,1984-01-01,146_flores_plantee_riutort_planteo
147,"conocimiento, palean, lee, reserve, informacion",11,1984-01-01,147_conocimiento_información_tomar_conoc...
148,"jey, urriza, caso, requerido, similar",6,1984-01-01,148_caso_suponer_demandar_separado
149,"referir, él, refer, mis, ir",38,1984-01-01,149_referir_él_refer_déjeme
151,"parliculai, adopciód, 229d, nación1, unamtino",3,1984-01-01,151_autenticacer_archivar_formular_diari...
152,"oportunidad, tráriite, edacer, desearíamos, proy",13,1984-01-01,152_oportunidad_solicité_ocasión_aprovec...
153,"denar, constituciona, ori, honor, pot",6,1984-01-01,153_constitución_jura_requerírsele_esqui...
154,"apoyo, rabanal, adelantamos, postergación, huarte",7,1984-01-01,154_apoyo_apoyar_apoyamos_adelantar
155,"electrónicamente, rectifi, llave, rogar, dispositivo",4,1984-01-01,155_sistema_electrónicamente_funcionar_l...
156,"dárseno, apremio, implementado, avanzado, compartir",1,1984-01-01,156_iniciativa_ambos_resulta_brevedad
157,"supresión, desistir, aconsejar, suprimir, originario",5,1984-01-01,157_eliminación_suprimir_eliminado_elimi...
159,"reconsideración, reconsideracion, , , ",15,1984-01-01,159_reconsideración_reconsideracion_reco...
161,"coo, , , , ",1,1984-01-01,161_marziotta_cobos_manes_gisela
162,"pronuncie, proi, trada, pronunciamiento, usual",6,1984-01-01,162_pronunciamiento_pronuncie_acento_éli...
163,"importación, estadística, temporario, tasa, comercio",22,1984-01-01,163_exportación_importación_mercadería_c...
164,"ministro, economía, verbal, 530, alsogaray",14,1984-01-01,164_economía_ministro_ministerio_italo
165,"furque, actuación, juicio, archivar, 1984",25,1984-01-01,165_juicio_juez_doctor_actuación
168,"bioceánico, oportunidad, posibilidad, país, ",1,1984-01-01,168_biocombustibl_biodiésel_combustible_...
169,"pedii, próximo, seguir, intención, carácter",5,1984-01-01,169_próximo_listado_seguir_afi
171,"xvhi, xvu, xvn, xiv, xix",5,1984-01-01,171_ficación_afi_xiv_xix
172,"referencia, lenguir, rabanal, ferré, vitivinícola",9,1984-01-01,172_referencia_coautor_referencien_lengu...
174,"traslado, asentímiento, solicitud, liay, asentimiento",27,1984-01-01,174_traslado_montoto_solicitud_trasladar
175,"mociones, pedidos, informes, consulta, traslado",20,1984-01-01,175_pedidos_mociones_informes_consulta
176,"pregunta, contestar, rugir, dieho, hallasar",10,1984-01-01,176_pregunta_preguntar_contestar_respond...
177,"radical, radicalismo, 5350, pretar, rajatab",14,1984-01-01,177_radical_radicalismo_bancada_evolució...
178,"sugerencia, sugerido, sugerir, hura, drá",9,1984-01-01,178_sugerencia_sugerir_sugerido_acepto
180,"inconveniente, descontar, rabana, desisto, incurrir",11,1984-01-01,180_inconveniente_excusación_contrario_e...
181,"respetar, , , , ",3,1984-01-01,181_petri_respetar_petmite_calma
182,"pronuncie, pregunta, realización, acerca, ",3,1984-01-01,182_pregunta_realizar_preguntar_raro
183,"cretado, nunciada, pimentel, sesion, antesala",2,1984-01-01,183_evangelios_santos_jura_dios
184,"llamo, rugir, atención, público, desarrollo",2,1984-01-01,184_audiencia_guardar_público_requerírse...
185,"genera, agregado, rmino, genera1, bodo",34,1984-01-01,185_agregado_genera_resulta_gennaro
186,"tema, , , , ",1,1984-01-01,186_pala_tema_hase_interesado
187,"consulta, pronlo, invariablemente, dele, extemporáneo",10,1984-01-01,187_consulta_consultar_asesoramiento_ase...
188,"azúcar, azucarero, derivados, azúcares, caña",11,1984-01-01,188_azúcar_vino_fructosa_remolacha
189,"versión, taquigráfica, lebrada, procedería, taquigráfico",4,1984-01-01,189_versión_taquigráfico_taquigráfi_taqu...
-1,"italo, 1985, compañía, diputados, doctor",8118,1985-01-01,-1_él_provincia_caso_año
0,"argentino, hombre, 1985, pueblo, italo",725,1985-01-01,0_argentino_argentina_país_gobierno
1,"presupuesto, 1985, hacienda, externo, ciento",111,1985-01-01,1_presupuesto_gasto_ciento_millón
2,"razón, junio, salud, mayo, comprendido",28,1985-01-01,2_pastoriza_landau_abdala_silvestre
3,"debate, conversación, discusión, tema, conversar",135,1985-01-01,3_debate_discusión_tema_debatir
4,"cooperativa, ejercicio, valor, computabl, contribución",57,1985-01-01,4_educación_universidad_docente_educativ...
5,"energía, combustibles, turbina, cushamen, yacyretá",272,1985-01-01,5_energía_gas_combustible_combustibles
6,"penal, código, delito, espectáculo, pena",46,1985-01-01,6_penal_código_pena_delito
7,"preferente, 143, 109, agregado, emitido",47,1985-01-01,7_afi_127_129_131
8,"impuesto, enriquecimiento, valor, bolsa, impositiva",87,1985-01-01,8_impuesto_ganancia_tributario_fiscal
9,"folio, exhibir, 159, 121, 257",11,1985-01-01,9_registrar_afi_él_136
10,"haber, él, decir, ver, conocer",106,1985-01-01,10_haber_él_sr_referir
11,"trabajo, accidentes, 22248, trabajador, legislación",60,1985-01-01,11_trabajo_trabajador_empleador_laboral
12,"salud, asistencia, pública, hospital, langan",84,1985-01-01,12_salud_discapacidad_paciente_pública
13,"precio, dólares, italo, defecto, millón",679,1985-01-01,13_precio_dólares_italo_millón
14,"president, cicyp, presidentecomo, siena6028, washington",12,1985-01-01,14_presiden_president_bue_sugerir
15,"doctor, caride, hoz, klein, zubarán",551,1985-01-01,15_doctor_caride_hoz_ocupar
16,"asenti, perl, folcini, toranzo, miento",40,1985-01-01,16_resulta_pala_afi_sin
17,"ruta, casale, transportes, daud, 1985",120,1985-01-01,17_ferroviario_ruta_ferrocarril_transpor...
18,"previsión, pensión, seguridad, social, caja",68,1985-01-01,18_pensión_previsional_jubilado_jubilaci...
19,"conocer, italo, videla, hoz, sr",78,1985-01-01,19_jurar_jura_someter_sr
20,"manifestación, manifestaciones, barra, tercerio, stolkiner",24,1985-01-01,20_manifestaciones_manifestación_barra_l...
21,"5282, diputados, 4826, ayo, 2798",144,1985-01-01,21_diputados_5282_pala_pág
22,"militar, soldati, junta, comandante, ciae",429,1985-01-01,22_militar_fuerza_defensa_soldati
23,"defensa, rega, bancada, político, docente",44,1985-01-01,23_político_democracia_partido_debate
24,"legislador, proscribir, legislativo, político, autoconciencia",36,1985-01-01,24_legislador_congreso_legislativo_parla...
25,"sr, pugliese, ruiz, segovia, hoz",59,1985-01-01,25_sr_pala_concedo_álvaro
26,"vicepresidente, vicepresidencia, toranzo, pascual, demócrata",34,1985-01-01,26_vicepresidente_vicepresidencia_ocupar...
27,"1985, adolfo, mujer, dimasi, doctor",55,1985-01-01,27_educación_escuela_monumento_aconsejar
28,"85, 84, autor, retiro, 325",23,1985-01-01,28_2007_2010_2006_07
29,"1985, 526o, jamaka, diputados, 5585",162,1985-01-01,29_1984_1985_diputados_véanse
30,"ganadería, agricultura, hembra, bovino, desgravación",37,1985-01-01,30_agropecuario_ganadería_productor_agri...
31,"crédito, préstamo, aval, deuda, italo",126,1985-01-01,31_deudor_deuda_hipotecario_crédito
32,"unificación, preacuerdo, iglesia, asociación, santo",13,1985-01-01,32_evangelios_santos_dios_jurar
33,"justicialista, bancada, procurador, judicial, tribunal",96,1985-01-01,33_justicialista_juez_justicia_bancada
34,"hijo, padre, filiación, matrimonio, potestad",163,1985-01-01,34_matrimonio_divorcio_cónyuge_hijo
